match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Bundesliga 2017_129_131_2017-08-19 14:30:00,2017-08-19 14:30:00,True,131,Wolfsburg,l,129,Borussia Dortmund,0.495065,0,0,344,18,2,0.7408000000000001,l,0.495065,1.12424,3,3,99,32,10,1.12424
Bundesliga 2017_131_132_2017-08-26 14:30:00,2017-08-26 14:30:00,False,131,Wolfsburg,w,132,Eintracht Frankfurt,1.07528,1,1,185,20,3,1.5188000000000001,w,1.07528,0.926888,0,0,245,30,7,0.926888
Bundesliga 2017_128_131_2017-09-09 14:30:00,2017-09-09 14:30:00,True,131,Wolfsburg,d,128,Hannover 96,1.13451,1,1,247,30,9,1.9461999999999997,d,1.13451,0.480156,1,1,230,25,2,0.480156
Bundesliga 2017_131_133_2017-09-16 14:30:00,2017-09-16 14:30:00,False,131,Wolfsburg,l,133,VfB Stuttgart,0.453375,0,0,274,28,4,0.6843,l,0.453375,1.13249,1,1,326,27,6,1.13249
Bundesliga 2017_123_131_2017-09-19 19:30:00,2017-09-19 19:30:00,True,131,Wolfsburg,d,123,Werder Bremen,1.01688,1,1,180,31,3,1.2641,d,1.01688,1.12581,1,1,358,28,4,1.12581
Bundesliga 2017_117_131_2017-09-22 19:30:00,2017-09-22 19:30:00,False,131,Wolfsburg,d,117,Bayern Munich,0.470696,2,2,339,12,2,0.2133,d,0.470696,2.33812,2,2,260,24,5,1.58034
Bundesliga 2017_125_131_2017-09-30 14:30:00,2017-09-30 14:30:00,True,131,Wolfsburg,d,125,Mainz 05,0.743969,1,1,251,20,5,1.1936,d,0.743969,0.90227,1,1,271,29,9,0.90227
Bundesliga 2017_119_131_2017-10-15 14:30:00,2017-10-15 14:30:00,False,131,Wolfsburg,d,119,Bayer Leverkusen,0.915577,2,2,218,22,2,0.9443,d,0.915577,1.45073,2,2,205,26,5,1.45073
Bundesliga 2017_120_131_2017-10-22 17:00:00,2017-10-22 17:00:00,True,131,Wolfsburg,d,120,Hoffenheim,1.29664,1,1,243,16,3,0.8331,d,0.538861,1.91537,1,1,277,32,6,1.15759
Bundesliga 2017_124_131_2017-10-28 14:30:00,2017-10-28 14:30:00,False,131,Wolfsburg,d,124,Schalke 04,0.979437,1,1,254,19,6,0.8853,d,0.22166,1.44123,1,1,318,42,3,0.683454
Bundesliga 2017_122_131_2017-11-05 17:00:00,2017-11-05 17:00:00,True,131,Wolfsburg,d,122,Hertha Berlin,2.40074,3,3,201,22,10,2.0568,d,1.64297,1.4853,3,3,333,30,2,1.4853
Bundesliga 2017_131_135_2017-11-18 14:30:00,2017-11-18 14:30:00,True,131,Wolfsburg,w,135,Freiburg,1.90114,3,3,338,32,11,2.193,w,1.90114,0.803719,1,1,289,31,4,0.803719
Bundesliga 2017_121_131_2017-11-25 14:30:00,2017-11-25 14:30:00,False,131,Wolfsburg,l,121,Augsburg,0.210553,1,1,242,9,2,0.1487,l,0.210553,2.0989,2,2,176,26,16,2.0989
Bundesliga 2017_130_131_2017-12-03 17:00:00,2017-12-03 17:00:00,True,131,Wolfsburg,w,130,Borussia M.Gladbach,1.57711,3,3,337,11,7,1.4719,w,1.57711,1.41032,0,0,251,24,9,1.41032
Bundesliga 2017_118_131_2017-12-09 14:30:00,2017-12-09 14:30:00,False,131,Wolfsburg,d,118,Hamburger SV,0.0876003,0,0,251,31,1,0.4362,d,0.0876003,0.929827,0,0,195,29,9,0.929827
Bundesliga 2017_131_136_2017-12-12 17:30:00,2017-12-12 17:30:00,True,131,Wolfsburg,d,136,RasenBallsport Leipzig,2.38829,1,1,241,14,10,2.6768,d,1.63052,0.583517,1,1,246,43,7,0.583517
Bundesliga 2017_131_134_2017-12-16 14:30:00,2017-12-16 14:30:00,False,131,Wolfsburg,l,134,FC Cologne,1.15445,0,0,213,24,7,0.5828,l,1.15445,2.32178,1,1,430,22,8,2.32178
Bundesliga 2017_129_131_2018-01-14 17:00:00,2018-01-14 17:00:00,False,131,Wolfsburg,d,129,Borussia Dortmund,0.698882,0,0,247,35,9,0.2627,d,0.698882,2.55723,0,0,219,21,12,2.55723
Bundesliga 2017_131_132_2018-01-20 14:30:00,2018-01-20 14:30:00,True,131,Wolfsburg,l,132,Eintracht Frankfurt,0.7221,1,1,236,15,5,0.5716,l,0.7221,1.78303,3,3,247,28,8,1.78303
Bundesliga 2017_128_131_2018-01-28 17:00:00,2018-01-28 17:00:00,False,131,Wolfsburg,w,128,Hannover 96,0.25357,1,1,309,22,1,0.7574000000000001,w,0.25357,0.784672,0,0,215,29,5,0.784672
Bundesliga 2017_131_133_2018-02-03 14:30:00,2018-02-03 14:30:00,True,131,Wolfsburg,d,133,VfB Stuttgart,0.810006,1,1,253,15,2,0.5573,d,0.810006,1.85583,1,1,341,27,4,1.85583
Bundesliga 2017_123_131_2018-02-11 17:00:00,2018-02-11 17:00:00,False,131,Wolfsburg,l,123,Werder Bremen,1.58428,1,1,156,22,3,1.8034000000000001,l,0.64383,1.13687,3,3,300,33,5,1.13687
Bundesliga 2017_117_131_2018-02-17 14:30:00,2018-02-17 14:30:00,True,131,Wolfsburg,l,117,Bayern Munich,0.469077,1,1,355,10,3,0.0536,l,0.469077,3.22804,2,2,104,31,7,1.71249
Bundesliga 2017_125_131_2018-02-23 19:30:00,2018-02-23 19:30:00,False,131,Wolfsburg,d,125,Mainz 05,1.00505,1,1,184,20,4,1.5477,d,1.00505,0.773004,1,1,328,29,2,0.773004
Bundesliga 2017_119_131_2018-03-03 14:30:00,2018-03-03 14:30:00,True,131,Wolfsburg,l,119,Bayer Leverkusen,0.198069,1,1,315,25,0,0.13440000000000002,l,0.198069,2.04714,2,2,317,20,13,1.28936
Bundesliga 2017_120_131_2018-03-10 14:30:00,2018-03-10 14:30:00,False,131,Wolfsburg,l,120,Hoffenheim,0.226156,0,0,262,19,3,0.3869,l,0.226156,1.41466,3,3,358,19,11,1.41466
Bundesliga 2017_124_131_2018-03-17 17:30:00,2018-03-17 17:30:00,True,131,Wolfsburg,l,124,Schalke 04,1.57629,0,0,276,20,1,1.5833,l,0.806266,1.29568,1,1,353,21,8,1.29568
Bundesliga 2017_122_131_2018-03-31 14:30:00,2018-03-31 14:30:00,False,131,Wolfsburg,d,122,Hertha Berlin,1.17225,0,0,289,23,0,2.1443,d,1.17225,0.365312,0,0,260,19,11,0.365312
Bundesliga 2017_131_135_2018-04-07 13:30:00,2018-04-07 13:30:00,False,131,Wolfsburg,w,135,Freiburg,0.679271,2,2,260,18,1,0.8012999999999999,w,0.679271,1.20901,0,0,150,19,7,0.45123
Bundesliga 2017_121_131_2018-04-13 18:30:00,2018-04-13 18:30:00,True,131,Wolfsburg,d,121,Augsburg,0.789397,0,0,144,24,4,1.9169,d,0.789397,0.213724,0,0,313,22,2,0.213724
Bundesliga 2017_130_131_2018-04-20 18:30:00,2018-04-20 18:30:00,False,131,Wolfsburg,l,130,Borussia M.Gladbach,0.18377,0,0,392,21,1,0.2261,l,0.18377,1.89902,3,3,221,28,7,1.89902
Bundesliga 2017_118_131_2018-04-28 13:30:00,2018-04-28 13:30:00,True,131,Wolfsburg,l,118,Hamburger SV,0.910012,1,1,204,20,6,0.2066,l,0.910012,2.91172,3,3,194,20,6,1.24807
Bundesliga 2017_131_136_2018-05-05 14:30:00,2018-05-05 14:30:00,False,131,Wolfsburg,l,136,RasenBallsport Leipzig,0.680762,1,1,206,17,2,0.5079,l,0.680762,1.88692,4,4,248,21,12,1.88692
Bundesliga 2017_131_134_2018-05-12 14:30:00,2018-05-12 14:30:00,True,131,Wolfsburg,w,134,FC Cologne,1.84524,4,4,325,23,7,1.5483,w,1.84524,1.59763,1,1,182,22,5,1.59763
