match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Serie_A 2015_112_113_2015-08-23 22:45:00,2015-08-23 22:45:00,True,112,Frosinone,l,113,Torino,0.895109,1,1,183,25,0,0.6219,l,0.895109,1.99731,2,2,186,29,10,1.99731
Serie_A 2015_107_112_2015-08-30 22:45:00,2015-08-30 22:45:00,False,112,Frosinone,l,107,Atalanta,0.836519,0,0,220,29,6,0.1718,l,0.836519,3.15546,2,2,154,30,9,2.39416
Serie_A 2015_112_95_2015-09-12 20:00:00,2015-09-12 20:00:00,True,112,Frosinone,l,95,Roma,0.366506,0,0,184,29,2,0.3045,l,0.366506,1.90653,2,2,119,20,6,1.90653
Serie_A 2015_112_97_2015-09-20 17:00:00,2015-09-20 17:00:00,False,112,Frosinone,l,97,Bologna,1.47246,0,0,180,29,7,1.5936,l,1.47246,1.20228,1,1,221,35,3,1.20228
Serie_A 2015_112_98_2015-09-23 22:45:00,2015-09-23 22:45:00,False,112,Frosinone,d,98,Juventus,0.512593,1,1,283,23,2,0.4117,d,0.512593,1.99042,1,1,124,26,17,1.99042
Serie_A 2015_108_112_2015-09-28 21:00:00,2015-09-28 21:00:00,True,112,Frosinone,w,108,Empoli,1.56653,2,2,216,34,1,1.7529000000000001,w,1.56653,1.10742,0,0,102,24,9,1.10742
Serie_A 2015_112_96_2015-10-04 20:00:00,2015-10-04 20:00:00,False,112,Frosinone,l,96,Lazio,0.738998,0,0,237,21,1,0.1077,l,0.738998,3.62854,2,2,110,31,13,3.62854
Serie_A 2015_102_112_2015-10-18 17:00:00,2015-10-18 17:00:00,True,112,Frosinone,w,102,Sampdoria,1.23144,2,2,209,17,6,1.2215,w,1.23144,1.40095,0,0,112,22,16,1.40095
Serie_A 2015_112_99_2015-10-25 18:00:00,2015-10-25 18:00:00,False,112,Frosinone,l,99,Udinese,0.430149,0,0,190,27,5,0.2592,l,0.430149,2.10451,1,1,244,20,10,2.10451
Serie_A 2015_103_112_2015-10-28 23:45:00,2015-10-28 23:45:00,True,112,Frosinone,w,103,Carpi,1.00468,2,2,135,28,3,1.7384,w,1.00468,0.640609,1,1,143,25,1,0.640609
Serie_A 2015_110_112_2015-11-01 15:30:00,2015-11-01 15:30:00,False,112,Frosinone,l,110,Fiorentina,0.253216,1,1,376,27,3,0.1154,l,0.253216,2.48691,4,4,159,34,13,1.72561
Serie_A 2015_101_112_2015-11-08 18:00:00,2015-11-08 18:00:00,True,112,Frosinone,d,101,Genoa,1.26946,2,2,171,29,8,0.8940000000000001,d,1.26946,1.78652,2,2,147,26,4,1.78652
Serie_A 2015_106_112_2015-11-22 23:45:00,2015-11-22 23:45:00,False,112,Frosinone,l,106,Inter,0.473179,0,0,259,35,1,0.0759,l,0.473179,3.15518,4,4,111,21,14,3.15518
Serie_A 2015_112_94_2015-11-29 18:00:00,2015-11-29 18:00:00,True,112,Frosinone,w,94,Verona,2.46758,3,3,157,31,6,2.5412,w,1.70628,0.811855,2,2,187,25,5,0.811855
Serie_A 2015_109_112_2015-12-06 18:00:00,2015-12-06 18:00:00,True,112,Frosinone,l,109,Chievo,1.23162,0,0,160,43,10,1.2542,l,1.23162,1.2951,2,2,122,29,4,0.533844
Serie_A 2015_100_112_2015-12-12 21:00:00,2015-12-12 21:00:00,False,112,Frosinone,l,100,Palermo,1.49153,1,1,137,25,3,0.5238,l,1.49153,2.74774,4,4,145,19,2,2.74774
Serie_A 2015_111_112_2015-12-20 21:00:00,2015-12-20 21:00:00,True,112,Frosinone,l,111,AC Milan,1.03341,2,2,239,21,5,0.088,l,1.03341,3.94009,4,4,113,23,15,3.94009
Serie_A 2015_104_112_2016-01-06 18:00:00,2016-01-06 18:00:00,False,112,Frosinone,d,104,Sassuolo,0.181481,2,2,295,29,3,0.11810000000000001,d,0.181481,2.31584,2,2,107,23,16,2.31584
Serie_A 2015_105_112_2016-01-10 18:00:00,2016-01-10 18:00:00,True,112,Frosinone,l,105,Napoli,0.317832,1,1,475,22,2,0.07780000000000001,l,0.317832,2.93173,5,5,154,25,8,2.17044
Serie_A 2015_112_113_2016-01-16 21:00:00,2016-01-16 21:00:00,False,112,Frosinone,l,113,Torino,0.651895,2,2,217,24,2,0.2128,l,0.651895,2.60731,4,4,202,22,8,1.84601
Serie_A 2015_107_112_2016-01-23 21:00:00,2016-01-23 21:00:00,True,112,Frosinone,d,107,Atalanta,0.800838,0,0,175,33,3,1.1775,d,0.800838,0.975734,0,0,172,23,5,0.975734
Serie_A 2015_112_95_2016-01-30 23:45:00,2016-01-30 23:45:00,False,112,Frosinone,l,95,Roma,0.515185,1,1,319,24,4,0.7617,l,0.515185,1.21392,3,3,129,18,10,1.21392
Serie_A 2015_112_97_2016-02-03 21:30:00,2016-02-03 21:30:00,True,112,Frosinone,w,97,Bologna,1.81211,1,1,214,34,5,1.9859,w,1.05081,1.06771,0,0,147,20,6,1.06771
