match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Serie_A 2018_113_95_2018-08-19 19:00:00,2018-08-19 19:00:00,True,113,Torino,l,95,Roma,0.496521,0,0,263,17,4,0.7377,l,0.496521,1.18063,1,1,155,24,10,1.18063
Serie_A 2018_106_113_2018-08-26 21:30:00,2018-08-26 21:30:00,False,113,Torino,d,106,Inter,0.921797,2,2,327,19,6,1.474,d,0.921797,0.789096,2,2,268,27,5,0.789096
Serie_A 2018_113_221_2018-09-02 18:30:00,2018-09-02 18:30:00,True,113,Torino,w,221,SPAL 2013,2.01945,1,1,177,24,6,2.4126,w,2.01945,0.656746,0,0,166,28,4,0.656746
Serie_A 2018_113_99_2018-09-16 13:00:00,2018-09-16 13:00:00,False,113,Torino,d,99,Udinese,0.671125,1,1,159,26,4,1.6848,d,0.671125,0.265642,1,1,329,21,4,0.265642
Serie_A 2018_105_113_2018-09-23 10:30:00,2018-09-23 10:30:00,True,113,Torino,l,105,Napoli,1.08641,1,1,309,22,6,0.4582,l,0.325113,2.35831,3,3,283,21,6,2.35831
Serie_A 2018_107_113_2018-09-26 19:00:00,2018-09-26 19:00:00,False,113,Torino,d,107,Atalanta,0.22405,0,0,242,23,1,0.7928999999999999,d,0.22405,0.672669,0,0,162,28,4,0.672669
Serie_A 2018_109_113_2018-09-30 13:00:00,2018-09-30 13:00:00,False,113,Torino,w,109,Chievo,1.48485,1,1,128,26,11,2.353,w,1.48485,0.315367,0,0,330,30,5,0.315367
Serie_A 2018_112_113_2018-10-05 18:30:00,2018-10-05 18:30:00,True,113,Torino,w,112,Frosinone,1.91949,3,3,142,33,4,1.3352,w,1.91949,1.94032,2,2,328,30,3,1.94032
Serie_A 2018_113_97_2018-10-21 13:00:00,2018-10-21 13:00:00,False,113,Torino,d,97,Bologna,0.697863,2,2,202,24,6,0.5667,d,0.697863,1.49515,2,2,231,20,3,1.49515
Serie_A 2018_110_113_2018-10-27 18:30:00,2018-10-27 18:30:00,True,113,Torino,d,110,Fiorentina,0.958579,1,1,153,38,13,1.054,d,0.958579,1.19007,1,1,145,29,4,1.19007
Serie_A 2018_102_113_2018-11-04 14:00:00,2018-11-04 14:00:00,False,113,Torino,w,102,Sampdoria,2.06704,4,4,222,38,8,1.2218,w,1.30574,2.19127,1,1,196,30,7,1.42997
Serie_A 2018_113_230_2018-11-10 14:00:00,2018-11-10 14:00:00,True,113,Torino,l,230,Parma Calcio 1913,2.33892,1,1,116,25,8,1.9385999999999999,l,2.33892,1.60323,2,2,267,20,4,1.60323
Serie_A 2018_113_116_2018-11-26 19:30:00,2018-11-26 19:30:00,False,113,Torino,d,116,Cagliari,0.85532,0,0,270,31,5,1.9961,d,0.85532,0.159979,0,0,275,25,2,0.159979
Serie_A 2018_101_113_2018-12-02 14:00:00,2018-12-02 14:00:00,True,113,Torino,w,101,Genoa,2.38859,2,2,100,28,9,1.9201,w,1.62733,1.63876,1,1,273,25,1,1.63876
Serie_A 2018_111_113_2018-12-09 19:30:00,2018-12-09 19:30:00,False,113,Torino,d,111,AC Milan,1.00064,0,0,288,31,3,1.0911,d,1.00064,1.32115,0,0,177,24,6,1.32115
Serie_A 2018_113_98_2018-12-15 19:30:00,2018-12-15 19:30:00,True,113,Torino,l,98,Juventus,0.610165,0,0,206,17,3,0.6274,l,0.610165,1.35072,1,1,131,21,5,0.589424
Serie_A 2018_104_113_2018-12-22 14:00:00,2018-12-22 14:00:00,False,113,Torino,d,104,Sassuolo,0.26404,1,1,232,33,8,0.1047,d,0.26404,2.51237,1,1,139,20,5,2.51237
Serie_A 2018_108_113_2018-12-26 17:00:00,2018-12-26 17:00:00,True,113,Torino,w,108,Empoli,1.20076,3,3,192,23,5,2.1908,w,1.20076,0.220152,0,0,371,20,3,0.220152
Serie_A 2018_113_96_2018-12-29 14:00:00,2018-12-29 14:00:00,False,113,Torino,d,96,Lazio,1.70098,1,1,191,34,4,1.9713,d,0.939763,0.992811,1,1,218,34,8,0.992811
Serie_A 2018_113_95_2019-01-19 14:00:00,2019-01-19 14:00:00,False,113,Torino,l,95,Roma,1.4063,2,2,169,38,2,0.4029,l,1.4063,3.06196,3,3,155,30,11,2.30066
Serie_A 2018_106_113_2019-01-27 17:00:00,2019-01-27 17:00:00,True,113,Torino,w,106,Inter,0.618747,1,1,286,31,2,1.1295,w,0.618747,0.771946,0,0,100,23,7,0.771946
Serie_A 2018_113_221_2019-02-03 11:30:00,2019-02-03 11:30:00,False,113,Torino,d,221,SPAL 2013,0.305403,0,0,213,35,2,0.8634,d,0.305403,0.665749,0,0,148,23,5,0.665749
Serie_A 2018_113_99_2019-02-10 14:00:00,2019-02-10 14:00:00,True,113,Torino,w,99,Udinese,2.45948,1,1,171,29,10,1.9092,w,2.45948,1.72917,0,0,224,29,8,0.967914
Serie_A 2018_105_113_2019-02-17 19:30:00,2019-02-17 19:30:00,False,113,Torino,d,105,Napoli,0.365283,0,0,276,20,3,0.14479999999999998,d,0.365283,2.59846,0,0,151,27,12,2.59846
Serie_A 2018_107_113_2019-02-23 14:00:00,2019-02-23 14:00:00,True,113,Torino,w,107,Atalanta,1.50859,2,2,276,36,2,1.6487,w,1.50859,1.13231,0,0,137,26,7,1.13231
Serie_A 2018_109_113_2019-03-03 11:30:00,2019-03-03 11:30:00,True,113,Torino,w,109,Chievo,0.875606,3,3,188,26,7,0.9925999999999999,w,0.875606,1.10955,0,0,257,28,0,1.10955
Serie_A 2018_112_113_2019-03-10 14:00:00,2019-03-10 14:00:00,False,113,Torino,w,112,Frosinone,0.878122,2,2,154,27,6,1.1275,w,0.878122,1.10791,1,1,207,24,2,1.10791
Serie_A 2018_113_97_2019-03-16 19:30:00,2019-03-16 19:30:00,True,113,Torino,l,97,Bologna,1.44972,2,2,142,28,9,0.9231999999999999,l,1.44972,1.9758,3,3,177,20,4,1.2145
Serie_A 2018_110_113_2019-03-31 13:00:00,2019-03-31 13:00:00,False,113,Torino,d,110,Fiorentina,0.4548,1,1,137,17,7,0.2276,d,0.4548,2.45876,1,1,168,24,9,2.45876
Serie_A 2018_102_113_2019-04-03 20:00:00,2019-04-03 20:00:00,True,113,Torino,w,102,Sampdoria,0.86608,2,2,205,32,5,1.9806,w,0.86608,0.175617,1,1,122,20,5,0.175617
Serie_A 2018_113_230_2019-04-06 14:00:00,2019-04-06 14:00:00,False,113,Torino,d,230,Parma Calcio 1913,0.856189,0,0,110,28,6,1.3601,d,0.856189,0.760063,0,0,241,30,2,0.760063
Serie_A 2018_113_116_2019-04-14 11:30:00,2019-04-14 11:30:00,True,113,Torino,d,116,Cagliari,1.17895,1,1,208,22,6,1.6381999999999999,d,1.17895,0.866882,1,1,169,28,5,0.866882
Serie_A 2018_101_113_2019-04-20 14:00:00,2019-04-20 14:00:00,False,113,Torino,w,101,Genoa,0.836087,1,1,141,34,5,1.033,w,0.836087,1.1822,0,0,189,28,7,1.1822
Serie_A 2018_111_113_2019-04-28 19:30:00,2019-04-28 19:30:00,True,113,Torino,w,111,AC Milan,1.24216,2,2,195,30,5,2.0098000000000003,w,0.480866,0.604324,0,0,114,26,12,0.604324
Serie_A 2018_113_98_2019-05-03 19:30:00,2019-05-03 19:30:00,False,113,Torino,d,98,Juventus,0.648738,1,1,213,31,2,0.7979,d,0.648738,1.3225,1,1,180,25,11,1.3225
Serie_A 2018_104_113_2019-05-12 11:30:00,2019-05-12 11:30:00,True,113,Torino,w,104,Sassuolo,3.93173,3,3,165,35,11,2.8872,w,3.17055,0.846402,2,2,258,16,2,0.846402
Serie_A 2018_108_113_2019-05-19 13:00:00,2019-05-19 13:00:00,False,113,Torino,l,108,Empoli,1.28459,1,1,133,28,6,0.5786,l,1.28459,2.53996,4,4,253,25,10,2.53996
Serie_A 2018_113_96_2019-05-26 13:00:00,2019-05-26 13:00:00,True,113,Torino,w,96,Lazio,2.39804,3,3,217,19,9,2.2523000000000004,w,2.39804,1.1792,1,1,390,40,7,1.1792
