match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Serie_A 2021_108_96_2021-08-21 18:45:00,2021-08-21 18:45:00,True,108,Empoli,l,96,Lazio,1.13436,1,1,320,39,12,0.8331999999999999,l,1.13436,1.78152,3,3,221,25,12,1.02023
Serie_A 2021_108_98_2021-08-28 18:45:00,2021-08-28 18:45:00,False,108,Empoli,w,98,Juventus,1.10327,1,1,186,13,4,0.7802,w,1.10327,1.81566,0,0,176,19,15,1.81566
Serie_A 2021_108_265_2021-09-11 13:00:00,2021-09-11 13:00:00,True,108,Empoli,l,265,Venezia,1.88537,1,1,143,26,13,0.9915,l,1.12407,2.43118,2,2,291,22,2,2.43118
Serie_A 2021_102_108_2021-09-19 10:30:00,2021-09-19 10:30:00,True,108,Empoli,l,102,Sampdoria,0.927264,0,0,158,21,5,1.0242,l,0.927264,1.34865,3,3,207,22,8,1.34865
Serie_A 2021_108_116_2021-09-22 18:45:00,2021-09-22 18:45:00,False,108,Empoli,w,116,Cagliari,1.14537,2,2,243,27,5,1.6966999999999999,w,1.14537,0.754694,0,0,231,17,11,0.754694
Serie_A 2021_108_97_2021-09-26 13:00:00,2021-09-26 13:00:00,True,108,Empoli,w,97,Bologna,1.47687,4,4,256,25,7,0.6673,w,0.715574,2.49784,2,2,106,15,9,1.73654
Serie_A 2021_108_95_2021-10-03 16:00:00,2021-10-03 16:00:00,False,108,Empoli,l,95,Roma,0.43764,0,0,340,26,1,0.3474,l,0.43764,1.8551,2,2,204,17,11,1.8551
Serie_A 2021_107_108_2021-10-17 13:00:00,2021-10-17 13:00:00,True,108,Empoli,l,107,Atalanta,0.575048,1,1,259,26,5,0.045899999999999996,l,0.575048,3.83506,4,4,229,30,13,3.07376
Serie_A 2021_108_264_2021-10-23 13:00:00,2021-10-23 13:00:00,False,108,Empoli,w,264,Salernitana,2.83049,4,4,263,26,6,2.3655,w,2.06919,1.37213,2,2,153,18,9,1.37213
Serie_A 2021_106_108_2021-10-27 18:45:00,2021-10-27 18:45:00,True,108,Empoli,l,106,Inter,0.542985,0,0,366,17,3,0.1296,l,0.542985,3.07924,2,2,161,26,14,3.07924
Serie_A 2021_104_108_2021-10-31 14:00:00,2021-10-31 14:00:00,False,108,Empoli,w,104,Sassuolo,1.4834,2,2,289,30,6,1.5715999999999999,w,0.722099,1.24312,1,1,205,25,9,1.24312
Serie_A 2021_101_108_2021-11-05 19:45:00,2021-11-05 19:45:00,True,108,Empoli,d,101,Genoa,0.745284,2,2,218,17,5,0.5943,d,0.745284,1.69731,2,2,218,46,4,0.936011
Serie_A 2021_108_94_2021-11-22 17:30:00,2021-11-22 17:30:00,False,108,Empoli,l,94,Verona,1.56263,1,1,196,19,5,1.6283999999999998,l,1.56263,1.30231,2,2,180,16,10,1.30231
Serie_A 2021_108_110_2021-11-27 14:00:00,2021-11-27 14:00:00,True,108,Empoli,w,110,Fiorentina,2.14107,2,2,207,32,4,1.2156,w,2.14107,2.39546,1,1,270,21,11,2.39546
Serie_A 2021_108_113_2021-12-02 17:30:00,2021-12-02 17:30:00,False,108,Empoli,d,113,Torino,0.972492,2,2,130,19,7,0.9919,d,0.972492,1.37796,2,2,192,16,4,1.37796
Serie_A 2021_108_99_2021-12-06 17:30:00,2021-12-06 17:30:00,True,108,Empoli,w,99,Udinese,2.02523,3,3,185,23,12,1.3492,w,2.02523,2.08721,1,1,278,26,13,2.08721
Serie_A 2021_105_108_2021-12-12 17:00:00,2021-12-12 17:00:00,False,108,Empoli,w,105,Napoli,0.644488,1,1,265,20,4,0.6515,w,0.644488,1.61708,0,0,215,20,14,1.61708
Serie_A 2021_108_260_2021-12-19 14:00:00,2021-12-19 14:00:00,False,108,Empoli,d,260,Spezia,1.224,1,1,149,24,7,1.1999,d,1.224,1.36967,1,1,304,19,5,1.36967
Serie_A 2021_108_111_2021-12-22 19:45:00,2021-12-22 19:45:00,True,108,Empoli,l,111,AC Milan,1.66086,2,2,159,27,10,1.1103999999999998,l,0.89956,1.96497,4,4,266,20,6,1.96497
Serie_A 2021_108_96_2022-01-06 13:30:00,2022-01-06 13:30:00,False,108,Empoli,d,96,Lazio,2.15425,3,3,266,10,4,0.7946000000000001,d,1.39295,3.09009,3,3,190,25,22,2.32879
Serie_A 2021_104_108_2022-01-09 13:30:00,2022-01-09 13:30:00,True,108,Empoli,l,104,Sassuolo,1.02555,1,1,307,22,9,0.0771,l,1.02555,4.0481,5,5,244,22,11,3.28688
Serie_A 2021_108_265_2022-01-16 14:00:00,2022-01-16 14:00:00,False,108,Empoli,d,265,Venezia,1.12304,1,1,180,32,8,1.4019,d,1.12304,1.03771,1,1,197,22,7,1.03771
Serie_A 2021_108_95_2022-01-23 17:00:00,2022-01-23 17:00:00,True,108,Empoli,l,95,Roma,1.23141,2,2,225,27,10,0.7196,l,1.23141,2.17975,4,4,284,20,8,2.17975
Serie_A 2021_108_97_2022-02-06 14:00:00,2022-02-06 14:00:00,False,108,Empoli,d,97,Bologna,1.87705,0,0,281,19,9,2.3894,d,1.87705,0.553308,0,0,132,30,4,0.553308
Serie_A 2021_108_116_2022-02-13 14:00:00,2022-02-13 14:00:00,True,108,Empoli,d,116,Cagliari,0.62072,1,1,177,19,4,1.1189,d,0.62072,0.833332,1,1,154,15,6,0.833332
Serie_A 2021_102_108_2022-02-19 14:00:00,2022-02-19 14:00:00,False,108,Empoli,l,102,Sampdoria,1.31858,0,0,192,29,9,2.061,l,1.31858,0.565043,2,2,256,21,2,0.565043
Serie_A 2021_108_98_2022-02-26 17:00:00,2022-02-26 17:00:00,True,108,Empoli,l,98,Juventus,1.37121,2,2,243,30,6,0.8116999999999999,l,1.37121,2.13647,3,3,270,12,7,2.13647
Serie_A 2021_101_108_2022-03-06 11:30:00,2022-03-06 11:30:00,False,108,Empoli,d,101,Genoa,0.319298,0,0,165,27,2,0.5313,d,0.319298,1.26288,0,0,179,40,6,1.26288
Serie_A 2021_108_111_2022-03-12 19:45:00,2022-03-12 19:45:00,False,108,Empoli,l,111,AC Milan,0.69889,0,0,297,19,5,1.2096,l,0.69889,0.868404,1,1,276,28,8,0.868404
Serie_A 2021_108_94_2022-03-20 14:00:00,2022-03-20 14:00:00,True,108,Empoli,d,94,Verona,0.934289,1,1,196,26,4,0.8169,d,0.934289,1.54465,1,1,135,18,11,0.78335
Serie_A 2021_108_110_2022-04-03 10:30:00,2022-04-03 10:30:00,False,108,Empoli,l,110,Fiorentina,0.207616,0,0,290,26,1,0.2599,l,0.207616,1.71922,1,1,200,18,7,1.71922
Serie_A 2021_108_260_2022-04-09 13:00:00,2022-04-09 13:00:00,True,108,Empoli,d,260,Spezia,0.888808,0,0,149,23,14,0.7891000000000001,d,0.888808,1.52229,0,0,188,30,1,1.52229
Serie_A 2021_108_99_2022-04-16 12:30:00,2022-04-16 12:30:00,False,108,Empoli,l,99,Udinese,1.96032,1,1,132,32,2,2.0441,l,1.19902,1.12137,4,4,274,21,9,1.12137
Serie_A 2021_105_108_2022-04-24 13:00:00,2022-04-24 13:00:00,True,108,Empoli,w,105,Napoli,1.80347,3,3,282,24,8,1.7560000000000002,w,1.80347,1.30674,2,2,175,22,12,1.30674
Serie_A 2021_108_113_2022-05-01 13:00:00,2022-05-01 13:00:00,True,108,Empoli,l,113,Torino,0.722045,1,1,190,20,2,0.13019999999999998,l,0.722045,3.02504,3,3,114,16,6,1.50245
Serie_A 2021_106_108_2022-05-06 16:45:00,2022-05-06 16:45:00,False,108,Empoli,l,106,Inter,0.682871,2,2,276,12,2,0.0098,l,0.682871,5.56052,4,4,216,26,27,5.56052
Serie_A 2021_108_264_2022-05-14 13:00:00,2022-05-14 13:00:00,True,108,Empoli,d,264,Salernitana,1.76936,1,1,172,17,11,0.512,d,1.76936,3.34278,1,1,202,16,10,2.58148
Serie_A 2021_107_108_2022-05-21 18:45:00,2022-05-21 18:45:00,False,108,Empoli,w,107,Atalanta,0.290017,1,1,225,11,4,0.0673,w,0.290017,3.27816,0,0,205,26,29,3.27816
