match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2023_80_87_2023-08-13 15:30:00,2023-08-13 15:30:00,False,87,Liverpool,d,80,Chelsea,1.29994,1,1,421,21,9,0.9087,d,1.29994,1.93258,1,1,170,19,11,1.93258
EPL 2023_73_87_2023-08-19 14:00:00,2023-08-19 14:00:00,True,87,Liverpool,w,73,Bournemouth,3.25448,3,3,167,23,11,2.5404,w,2.33406,1.3867,1,1,356,32,8,1.3867
EPL 2023_86_87_2023-08-27 15:30:00,2023-08-27 15:30:00,False,87,Liverpool,w,86,Newcastle United,0.856121,2,2,370,23,5,0.8074,w,0.856121,1.62037,1,1,227,21,5,1.62037
EPL 2023_71_87_2023-09-03 13:00:00,2023-09-03 13:00:00,True,87,Liverpool,w,71,Aston Villa,2.73138,3,3,248,29,11,2.705,w,2.73138,0.615503,0,0,543,8,3,0.615503
EPL 2023_229_87_2023-09-16 11:30:00,2023-09-16 11:30:00,False,87,Liverpool,w,229,Wolverhampton Wanderers,2.82701,3,3,210,21,16,2.8023,w,2.82701,0.538833,1,1,404,22,9,0.538833
EPL 2023_81_87_2023-09-24 13:00:00,2023-09-24 13:00:00,True,87,Liverpool,w,81,West Ham,4.14262,3,3,212,35,14,2.7253,w,3.38145,1.53878,1,1,368,20,1,1.53878
EPL 2023_82_87_2023-09-30 16:30:00,2023-09-30 16:30:00,False,87,Liverpool,l,82,Tottenham,1.12299,1,1,320,20,7,0.6294,l,1.12299,2.18823,2,2,218,29,18,2.18823
EPL 2023_220_87_2023-10-08 13:00:00,2023-10-08 13:00:00,False,87,Liverpool,d,220,Brighton,2.51029,2,2,277,36,15,1.58,d,1.74913,2.23187,2,2,324,21,4,2.23187
EPL 2023_72_87_2023-10-21 11:30:00,2023-10-21 11:30:00,True,87,Liverpool,w,72,Everton,2.28568,2,2,87,26,13,2.8639,w,1.52459,0.0937725,0,0,379,13,5,0.0937725
EPL 2023_249_87_2023-10-29 14:00:00,2023-10-29 14:00:00,True,87,Liverpool,w,249,Nottingham Forest,2.70428,3,3,151,19,11,2.7153,w,2.70428,0.642014,0,0,438,14,3,0.642014
EPL 2023_256_87_2023-11-05 16:30:00,2023-11-05 16:30:00,False,87,Liverpool,d,256,Luton,3.03925,1,1,98,26,14,2.4793,d,3.03925,1.3411,1,1,369,17,1,1.3411
EPL 2023_244_87_2023-11-12 14:00:00,2023-11-12 14:00:00,True,87,Liverpool,w,244,Brentford,1.56004,3,3,178,27,11,1.4565000000000001,w,1.56004,1.44954,0,0,233,22,8,1.44954
EPL 2023_87_88_2023-11-25 12:30:00,2023-11-25 12:30:00,False,87,Liverpool,d,88,Manchester City,0.766278,1,1,345,15,6,0.6095999999999999,d,0.766278,1.79622,1,1,246,21,11,1.79622
EPL 2023_228_87_2023-12-03 14:00:00,2023-12-03 14:00:00,True,87,Liverpool,w,228,Fulham,2.72831,4,4,192,23,17,2.1870999999999996,w,2.72831,1.51005,3,3,343,24,5,1.51005
EPL 2023_238_87_2023-12-06 19:30:00,2023-12-06 19:30:00,False,87,Liverpool,w,238,Sheffield United,1.80116,2,2,57,18,14,2.1129,w,1.80116,0.834172,0,0,363,14,2,0.834172
EPL 2023_78_87_2023-12-09 12:30:00,2023-12-09 12:30:00,False,87,Liverpool,w,78,Crystal Palace,1.3708,2,2,67,21,15,0.9942,w,1.3708,1.79152,1,1,384,24,4,1.03036
EPL 2023_87_89_2023-12-17 16:30:00,2023-12-17 16:30:00,True,87,Liverpool,d,89,Manchester United,1.97111,0,0,145,28,12,2.3368,d,1.97111,0.632715,0,0,304,13,7,0.632715
EPL 2023_83_87_2023-12-23 17:30:00,2023-12-23 17:30:00,True,87,Liverpool,d,83,Arsenal,0.982901,1,1,241,33,7,1.4647999999999999,d,0.982901,0.851681,1,1,270,21,5,0.851681
EPL 2023_87_92_2023-12-26 17:30:00,2023-12-26 17:30:00,False,87,Liverpool,w,92,Burnley,1.68451,2,2,138,15,18,1.8768,w,1.68451,0.972389,0,0,390,25,3,0.972389
EPL 2023_86_87_2024-01-01 19:00:00,2024-01-01 19:00:00,True,87,Liverpool,w,86,Newcastle United,6.67151,4,4,193,40,16,2.9958,w,5.02355,0.910974,2,2,284,19,4,0.910974
EPL 2023_73_87_2024-01-21 16:30:00,2024-01-21 16:30:00,False,87,Liverpool,w,73,Bournemouth,1.53344,4,4,149,31,15,1.9563,w,1.53344,0.834585,0,0,281,28,10,0.834585
EPL 2023_80_87_2024-01-31 20:15:00,2024-01-31 20:15:00,True,87,Liverpool,w,80,Chelsea,3.6627,4,4,372,37,10,2.9203,w,2.90153,0.477972,1,1,294,15,6,0.477972
EPL 2023_83_87_2024-02-04 16:30:00,2024-02-04 16:30:00,False,87,Liverpool,l,83,Arsenal,0.542052,1,1,202,21,2,0.1636,l,0.542052,2.8526,3,3,291,30,5,2.8526
EPL 2023_87_92_2024-02-10 15:00:00,2024-02-10 15:00:00,True,87,Liverpool,w,92,Burnley,3.14734,3,3,125,27,15,2.5408,w,3.14734,1.11123,1,1,412,24,6,1.11123
EPL 2023_244_87_2024-02-17 12:30:00,2024-02-17 12:30:00,False,87,Liverpool,w,244,Brentford,3.08952,4,4,162,22,11,2.2674,w,3.08952,1.69518,1,1,272,20,10,1.69518
EPL 2023_256_87_2024-02-21 15:00:00,2024-02-21 15:00:00,True,87,Liverpool,w,256,Luton,3.70302,4,4,168,35,16,2.7612,w,3.70302,0.956512,1,1,246,20,4,0.956512
EPL 2023_249_87_2024-03-02 15:00:00,2024-03-02 15:00:00,False,87,Liverpool,w,249,Nottingham Forest,1.32259,1,1,119,25,12,1.6254,w,1.32259,0.971466,0,0,353,16,7,0.971466
EPL 2023_87_88_2024-03-10 15:45:00,2024-03-10 15:45:00,True,87,Liverpool,d,88,Manchester City,2.25492,1,1,285,32,9,2.0021,d,1.49375,1.37289,1,1,341,23,5,1.37289
EPL 2023_220_87_2024-03-31 14:00:00,2024-03-31 14:00:00,True,87,Liverpool,w,220,Brighton,3.21149,2,2,304,34,24,2.8344,w,3.21149,0.43922,1,1,298,16,6,0.43922
EPL 2023_238_87_2024-04-04 18:30:00,2024-04-04 18:30:00,True,87,Liverpool,w,238,Sheffield United,2.51772,3,3,59,23,18,2.5417,w,2.51772,0.720948,1,1,396,15,2,0.720948
EPL 2023_87_89_2024-04-07 14:30:00,2024-04-07 14:30:00,False,87,Liverpool,d,89,Manchester United,4.43457,2,2,196,25,21,2.9172,d,3.6734,0.814509,2,2,284,20,6,0.814509
EPL 2023_78_87_2024-04-14 13:00:00,2024-04-14 13:00:00,True,87,Liverpool,l,78,Crystal Palace,3.04497,0,0,161,28,11,1.963,l,3.04497,2.12879,1,1,391,15,6,2.12879
